"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 24 22:05:40 GMT 2025","Mon Mar 24 22:05:41 GMT 2025","517","Simple Test Suite 1","","","","","always passes - with wait",""
"passed","Mon Mar 24 22:05:44 GMT 2025","Mon Mar 24 22:05:44 GMT 2025","37","Simple Test Suite 3","","","","","always passes - using Cypress commands",""
"passed","Mon Mar 24 22:06:09 GMT 2025","Mon Mar 24 22:06:09 GMT 2025","31","Simple Test Suite 2","","","","","always passes - working with objects",""
"passed","Mon Mar 24 22:05:40 GMT 2025","Mon Mar 24 22:05:40 GMT 2025","36","Simple Test Suite 1","","","","","always passes - basic assertions",""
"passed","Mon Mar 24 22:06:11 GMT 2025","Mon Mar 24 22:06:11 GMT 2025","37","Simple Test Suite 3","","","","","always passes - using Cypress commands",""
"passed","Mon Mar 24 22:05:42 GMT 2025","Mon Mar 24 22:05:42 GMT 2025","13","Simple Test Suite 2","","","","","always passes - working with arrays",""
"passed","Mon Mar 24 22:06:07 GMT 2025","Mon Mar 24 22:06:07 GMT 2025","35","Simple Test Suite 1","","","","","always passes - basic assertions",""
"passed","Mon Mar 24 22:06:07 GMT 2025","Mon Mar 24 22:06:07 GMT 2025","517","Simple Test Suite 1","","","","","always passes - with wait",""
"passed","Mon Mar 24 22:06:09 GMT 2025","Mon Mar 24 22:06:09 GMT 2025","13","Simple Test Suite 2","","","","","always passes - working with arrays",""
"passed","Mon Mar 24 22:06:11 GMT 2025","Mon Mar 24 22:06:11 GMT 2025","17","Simple Test Suite 3","","","","","always passes - environment check",""
"passed","Mon Mar 24 22:05:44 GMT 2025","Mon Mar 24 22:05:44 GMT 2025","17","Simple Test Suite 3","","","","","always passes - environment check",""
"passed","Mon Mar 24 22:05:42 GMT 2025","Mon Mar 24 22:05:42 GMT 2025","27","Simple Test Suite 2","","","","","always passes - working with objects",""
